timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,containers,iteration,failure_mode,tenant,requests,failures,p50_ms,p95_ms,p99_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,isolation_score
2026-03-22T13:41:18+05:30,exp_00176_nhigh_pdelayed_start_madaptive_idcgroup_c3_fspike_it1,high,delayed_start,adaptive,cgroup,true,adaptive,3,1,spike,tenant1,400,0,1.005,7.188,10.770,2.384,5.683,16.453,0,10.7164,28,2,7.0809
2026-03-22T13:03:39+05:30,exp_00135_nhigh_pconstant_mtc_idcgroup_c3_fnone_it1,high,constant,tc,ip,false,none,3,1,none,tenant2,400,0,0.901,7.418,10.733,2.541,6.455,16.603,0,11.9123,41,1,8.6977
2026-03-22T12:58:59+05:30,exp_00130_nhigh_pconstant_mnone_idip_c3_fspike_it1,high,constant,none,ip,false,none,3,1,spike,tenant2,400,0,0.996,7.150,10.718,2.515,6.324,15.962,0,10.7610,81,1,8.6856
2026-03-22T10:21:45+05:30,exp_00024_nlow_pconstant_mnone_idip_c5_fspike_it4,low,constant,none,ip,false,none,5,4,spike,tenant1,400,0,0.793,2.395,10.681,1.605,2.577,18.419,0,13.4691,21,2,7.0224
2026-03-22T10:44:46+05:30,exp_00036_nlow_pconstant_mnone_idip_c10_fspike_it1,low,constant,none,ip,false,none,10,1,spike,tenant2,400,0,0.777,2.572,10.665,1.472,2.166,20.857,0,13.7259,174,1,8.6426
2026-03-22T13:40:22+05:30,exp_00175_nhigh_pdelayed_start_madaptive_idcgroup_c3_fnone_it1,high,delayed_start,adaptive,cgroup,true,adaptive,3,1,none,tenant2,400,0,0.853,6.705,10.592,2.486,6.180,15.909,0,12.4174,5,1,8.5835
2026-03-22T13:37:30+05:30,exp_00172_nhigh_pdelayed_start_mebpf_idcgroup_c3_fspike_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,spike,tenant2,400,0,0.861,6.901,10.585,2.394,5.729,15.939,0,12.2938,15,1,8.5778
2026-03-22T13:05:32+05:30,exp_00137_nhigh_pconstant_mebpf_idip_c3_fnone_it1,high,constant,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,1.016,7.155,10.576,2.531,6.407,16.263,0,10.4094,12,1,8.5705
2026-03-22T13:34:40+05:30,exp_00169_nhigh_pdelayed_start_mebpf_idip_c3_fnone_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,0.899,6.592,10.563,2.348,5.513,16.342,0,11.7497,139,2,8.5600
2026-03-22T12:58:02+05:30,exp_00129_nhigh_pconstant_mnone_idip_c3_fnone_it1,high,constant,none,ip,false,none,3,1,none,tenant2,400,0,0.803,6.497,10.452,2.460,6.053,16.471,0,13.0162,1,1,8.4700
