isolation_method,samples,unique_experiments,unique_tenants,p50_ms_mean,p50_ms_std,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_std,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_std,p99_ms_min,p99_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_min,jitter_ms_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,packet_drops_mean,packet_drops_std,packet_drops_min,packet_drops_max,tail_amplification_mean,tail_amplification_std,tail_amplification_min,tail_amplification_max,isolation_score_mean,isolation_score_std,isolation_score_min,isolation_score_max
adaptive,96,48,2,0.7581979166666667,0.10773667897059958,0.621,1.136,3.348875,2.499383748257284,0.775,9.017,5.47390625,3.7526259944572566,0.967,15.122,1.1840104166666667,0.9164070400472956,0.098,3.094,23.0981875,5.611851551685762,15.344,33.624,0.0,0.0,0.0,0.0,6.772559375,3.9644881032161976,1.4652,15.3785,4.027485416666667,2.823414222569218,0.6627,10.8687
ebpf,104,48,2,0.7470769230769231,0.09725471434478272,0.615,1.081,3.158403846153846,2.467782230322551,0.766,8.88,5.131605769230769,3.5727556181679794,0.897,13.345,1.133625,0.8701235955896965,0.079,3.03,23.428740384615384,5.366862094163658,15.764,31.887,0.0,0.0,0.0,0.0,6.480320192307692,3.9504114474017853,1.3309,18.2909,3.7860865384615385,2.7219570010463396,0.5897,10.8144
none,393,103,9,0.7027684478371501,0.06084607395886026,0.589,1.113,1.793852417302799,1.6346167554957518,0.721,8.679,3.670503816793893,3.062931759753858,0.902,14.662,3.337641221374046,11.176777981465406,0.078,54.515,25.178661577608143,4.395056160396049,15.213,35.37,0.0,0.0,0.0,0.0,4.984542493638677,3.743801070034398,1.4113,18.4893,2.496161832061069,2.2204403455236728,0.3311,10.1467
tc,104,48,2,0.7399038461538462,0.10198948348896092,0.603,1.154,3.097932692307692,2.3607536243829728,0.737,8.656,5.017009615384615,3.4924359554355853,0.939,15.304,1.0359326923076924,0.823310653592491,0.081,3.123,23.664375,5.2961499978529005,15.773,33.442,0.0,0.0,0.0,0.0,6.38149423076923,3.7683685140952767,1.4227,15.6803,3.6907932692307694,2.6182651793452343,0.6174,12.4019
