timestamp,experiment,tenant,noise_level,traffic_pattern,isolation_method,identity_mode,strategy,containers,failure_mode,p50_ms,p95_ms,p99_ms,jitter_ms,throughput_rps,tail_amplification,isolation_score
2026-03-22T12:20:37+05:30,exp_00076_nmedium_pconstant_mebpf_idcgroup_c3_fspike_it1,tenant2,medium,constant,ebpf,ip,rate_limit,3,spike,0.753,4.683,7.159,1.486,19.781,9.5073,5.8015
2026-03-22T10:39:17+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,tenant6,low,constant,none,ip,none,10,none,0.737,2.559,7.136,1.296,19.240,9.6825,4.0000
2026-03-22T13:16:38+05:30,exp_00149_nhigh_pbursty_mtc_idip_c3_fnone_it1,tenant2,high,bursty,tc,ip,none,3,none,0.779,5.390,7.115,1.641,20.478,9.1335,5.7658
2026-03-22T13:13:08+05:30,exp_00145_nhigh_pbursty_mnone_idip_c3_fnone_it1,tenant1,high,bursty,none,ip,none,3,none,0.844,6.231,7.069,2.112,16.252,8.3756,4.6476
2026-03-22T13:47:19+05:30,exp_00183_nhigh_pintermittent_mtc_idcgroup_c3_fnone_it1,tenant2,high,intermittent,tc,ip,none,3,none,0.783,5.437,7.053,1.742,18.541,9.0077,5.7156
2026-03-22T13:32:48+05:30,exp_00167_nhigh_pdelayed_start_mtc_idcgroup_c3_fnone_it1,tenant2,high,delayed_start,tc,ip,none,3,none,0.815,5.891,7.026,1.896,16.223,8.6209,5.6937
2026-03-22T13:13:08+05:30,exp_00145_nhigh_pbursty_mnone_idip_c3_fnone_it1,tenant2,high,bursty,none,ip,none,3,none,0.782,5.857,7.014,1.853,18.892,8.9693,5.6840
2026-03-22T09:57:40+05:30,exp_00016_nlow_pconstant_mnone_idip_c5_fnone_it1,tenant2,low,constant,none,ip,none,5,none,0.732,1.960,6.971,1.414,20.937,9.5232,5.6491
2026-03-22T13:15:48+05:30,exp_00148_nhigh_pbursty_mnone_idcgroup_c3_fspike_it1,tenant2,high,bursty,none,ip,none,3,spike,0.779,5.819,6.952,1.759,19.350,8.9243,5.6337
2026-03-22T10:21:46+05:30,exp_00024_nlow_pconstant_mnone_idip_c5_fspike_it4,tenant2,low,constant,none,ip,none,5,spike,0.760,2.859,6.936,1.242,20.367,9.1263,5.6207
2026-03-22T12:34:24+05:30,exp_00096_nmedium_pbursty_madaptive_idcgroup_c3_fspike_it1,tenant2,medium,bursty,adaptive,cgroup,adaptive,3,spike,0.728,2.194,6.923,1.303,21.913,9.5096,5.6102
2026-03-22T13:21:50+05:30,exp_00155_nhigh_pbursty_mebpf_idcgroup_c3_fnone_it1,tenant1,high,bursty,ebpf,ip,rate_limit,3,none,0.805,5.906,6.911,1.773,18.162,8.5851,4.5437
2026-03-22T13:25:23+05:30,exp_00159_nhigh_pbursty_madaptive_idcgroup_c3_fnone_it1,tenant2,high,bursty,adaptive,cgroup,adaptive,3,none,0.781,5.719,6.865,1.736,18.713,8.7900,5.5632
2026-03-22T12:44:54+05:30,exp_00110_nmedium_pdelayed_start_madaptive_idip_c3_fspike_it1,tenant1,medium,delayed_start,adaptive,ip,adaptive,3,spike,0.766,4.242,6.837,1.359,18.959,8.9256,4.4951
2026-03-22T13:46:28+05:30,exp_00182_nhigh_pintermittent_mtc_idip_c3_fspike_it1,tenant1,high,intermittent,tc,ip,none,3,spike,0.780,5.094,6.819,1.609,19.980,8.7423,4.4832
2026-03-22T13:42:10+05:30,exp_00177_nhigh_pintermittent_mnone_idip_c3_fnone_it1,tenant1,high,intermittent,none,ip,none,3,none,0.799,5.887,6.817,1.797,17.211,8.5319,4.4819
2026-03-22T10:20:19+05:30,exp_00023_nlow_pconstant_mnone_idip_c5_fspike_it3,tenant1,low,constant,none,ip,none,5,spike,0.789,3.569,6.721,1.463,18.939,8.5184,4.4188
2026-03-22T13:16:37+05:30,exp_00149_nhigh_pbursty_mtc_idip_c3_fnone_it1,tenant1,high,bursty,tc,ip,none,3,none,0.804,5.782,6.721,1.827,17.909,8.3595,4.4188
2026-03-22T12:43:20+05:30,exp_00108_nmedium_pdelayed_start_mebpf_idcgroup_c3_fspike_it1,tenant1,medium,delayed_start,ebpf,ip,rate_limit,3,spike,0.736,3.971,6.628,1.419,19.595,9.0054,4.3577
2026-03-22T12:22:09+05:30,exp_00078_nmedium_pconstant_madaptive_idip_c3_fspike_it1,tenant1,medium,constant,adaptive,ip,adaptive,3,spike,0.758,4.465,6.606,1.358,20.169,8.7150,4.3432
2026-03-22T11:48:46+05:30,exp_00024_nlow_pbursty_mtc_idcgroup_c3_fspike_it1,tenant1,low,bursty,tc,ip,none,3,spike,0.687,1.930,6.537,0.945,24.951,9.5153,4.2978
2026-03-22T11:51:17+05:30,exp_00028_nlow_pbursty_mebpf_idcgroup_c3_fspike_it1,tenant2,low,bursty,ebpf,ip,rate_limit,3,spike,0.684,1.792,6.496,1.782,25.623,9.4971,5.2642
2026-03-22T10:36:11+05:30,exp_00033_nlow_pconstant_mnone_idip_c10_fnone_it3,tenant8,low,constant,none,ip,none,10,none,0.736,1.640,6.463,1.403,20.198,8.7812,4.9411
2026-03-22T10:54:01+05:30,exp_00039_nlow_pconstant_mnone_idip_c10_fspike_it4,tenant7,low,constant,none,ip,none,10,spike,0.731,2.252,6.424,1.015,20.734,8.7880,3.3918
2026-03-22T11:14:12+05:30,exp_00053_nlow_pconstant_mnone_idcgroup_c3_fspike_it3,tenant2,low,constant,none,ip,none,3,spike,0.726,1.881,6.288,1.094,21.697,8.6612,5.0956
