Linux 5.15.0-171-generic (cloudnet-s05) 	05/19/2026 	_x86_64_	(8 CPU)

12:54:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:54:35 PM  all   14.04    0.00    6.84    0.00    0.00    3.05    0.00    0.00    0.00   76.07
12:54:35 PM    0   12.62    0.00    8.74    0.00    0.00    1.94    0.00    0.00    0.00   76.70
12:54:35 PM    1   15.53    0.00    5.83    0.00    0.00    2.91    0.00    0.00    0.00   75.73
12:54:35 PM    2   13.46    0.00    7.69    0.00    0.00    2.88    0.00    0.00    0.00   75.96
12:54:35 PM    3   18.27    0.00    4.81    0.00    0.00    4.81    0.00    0.00    0.00   72.12
12:54:35 PM    4   12.00    0.00    7.00    0.00    0.00    4.00    0.00    0.00    0.00   77.00
12:54:35 PM    5   12.00    0.00    8.00    0.00    0.00    2.00    0.00    0.00    0.00   78.00
12:54:35 PM    6   14.56    0.00    7.77    0.00    0.00    1.94    0.00    0.00    0.00   75.73
12:54:35 PM    7   13.73    0.00    4.90    0.00    0.00    3.92    0.00    0.00    0.00   77.45

12:54:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:54:36 PM  all   11.03    0.00    7.35    0.00    0.00    3.30    0.00    0.00    0.00   78.33
12:54:36 PM    0   13.13    0.00    5.05    0.00    0.00    4.04    0.00    0.00    0.00   77.78
12:54:36 PM    1    9.18    0.00    7.14    0.00    0.00    5.10    0.00    0.00    0.00   78.57
12:54:36 PM    2    9.18    0.00    7.14    0.00    0.00    5.10    0.00    0.00    0.00   78.57
12:54:36 PM    3   13.00    0.00    6.00    0.00    0.00    3.00    0.00    0.00    0.00   78.00
12:54:36 PM    4   10.10    0.00    8.08    0.00    0.00    4.04    0.00    0.00    0.00   77.78
12:54:36 PM    5   10.89    0.00    9.90    0.00    0.00    2.97    0.00    0.00    0.00   76.24
12:54:36 PM    6   12.12    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   78.79
12:54:36 PM    7   10.53    0.00    7.37    0.00    0.00    1.05    0.00    0.00    0.00   81.05

12:54:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:54:37 PM  all   10.94    0.00    6.82    0.00    0.00    3.09    0.00    0.00    0.00   79.15
12:54:37 PM    0   10.42    0.00    7.29    0.00    0.00    3.12    0.00    0.00    0.00   79.17
12:54:37 PM    1   13.27    0.00    4.08    0.00    0.00    3.06    0.00    0.00    0.00   79.59
12:54:37 PM    2    9.28    0.00    7.22    0.00    0.00    4.12    0.00    0.00    0.00   79.38
