Linux 5.15.0-171-generic (cloudnet-s05) 	05/19/2026 	_x86_64_	(8 CPU)

01:07:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:42 PM  all   19.57    0.00   11.67    0.00    0.00    4.89    0.00    0.00    0.00   63.86
01:07:42 PM    0   19.19    0.00   11.11    0.00    0.00    5.05    0.00    0.00    0.00   64.65
01:07:42 PM    1   20.00    0.00   10.00    0.00    0.00    6.00    0.00    0.00    0.00   64.00
01:07:42 PM    2   20.00    0.00   13.00    0.00    0.00    3.00    0.00    0.00    0.00   64.00
01:07:42 PM    3   19.80    0.00   12.87    0.00    0.00    3.96    0.00    0.00    0.00   63.37
01:07:42 PM    4   20.00    0.00   12.00    0.00    0.00    6.00    0.00    0.00    0.00   62.00
01:07:42 PM    5   18.37    0.00    9.18    0.00    0.00    6.12    0.00    0.00    0.00   66.33
01:07:42 PM    6   19.00    0.00   13.00    0.00    0.00    4.00    0.00    0.00    0.00   64.00
01:07:42 PM    7   20.20    0.00   12.12    0.00    0.00    5.05    0.00    0.00    0.00   62.63

01:07:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:43 PM  all   19.82    0.00   11.54    0.00    0.00    6.27    0.00    0.00    0.00   62.36
01:07:43 PM    0   19.19    0.00   12.12    0.00    0.00    6.06    0.00    0.00    0.00   62.63
01:07:43 PM    1   21.78    0.00   10.89    0.00    0.00    5.94    0.00    0.00    0.00   61.39
01:07:43 PM    2   22.77    0.00   10.89    0.00    0.00    3.96    0.00    0.00    0.00   62.38
01:07:43 PM    3   17.65    0.00   10.78    0.00    0.00    9.80    0.00    0.00    0.00   61.76
01:07:43 PM    4   20.20    0.00   11.11    0.00    0.00    6.06    0.00    0.00    0.00   62.63
01:07:43 PM    5   16.49    0.00   12.37    0.00    0.00    7.22    0.00    0.00    0.00   63.92
01:07:43 PM    6   18.18    0.00   15.15    0.00    0.00    4.04    0.00    0.00    0.00   62.63
01:07:43 PM    7   22.22    0.00    9.09    0.00    0.00    7.07    0.00    0.00    0.00   61.62

01:07:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:44 PM  all   20.87    0.00   12.99    0.00    0.00    6.31    0.00    0.00    0.00   59.83
01:07:44 PM    0   19.61    0.00   12.75    0.00    0.00    6.86    0.00    0.00    0.00   60.78
01:07:44 PM    1   19.61    0.00   13.73    0.00    0.00    5.88    0.00    0.00    0.00   60.78
01:07:44 PM    2   20.19    0.00   10.58    0.00    0.00    9.62    0.00    0.00    0.00   59.62
01:07:44 PM    3   23.30    0.00   11.65    0.00    0.00    5.83    0.00    0.00    0.00   59.22
01:07:44 PM    4   20.59    0.00   12.75    0.00    0.00    6.86    0.00    0.00    0.00   59.80
01:07:44 PM    5   21.36    0.00   14.56    0.00    0.00    3.88    0.00    0.00    0.00   60.19
01:07:44 PM    6   21.90    0.00   13.33    0.00    0.00    6.67    0.00    0.00    0.00   58.10
01:07:44 PM    7   20.39    0.00   14.56    0.00    0.00    4.85    0.00    0.00    0.00   60.19

01:07:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:45 PM  all   23.56    0.00   13.78    0.50    0.00    6.14    0.00    0.00    0.00   56.02
01:07:45 PM    0   26.47    0.00   11.76    0.98    0.00    5.88    0.00    0.00    0.00   54.90
01:07:45 PM    1   20.20    0.00   16.16    0.00    0.00    6.06    0.00    0.00    0.00   57.58
01:07:45 PM    2   23.00    0.00   13.00    0.00    0.00    9.00    0.00    0.00    0.00   55.00
01:07:45 PM    3   26.00    0.00   11.00    0.00    0.00    6.00    0.00    0.00    0.00   57.00
01:07:45 PM    4   20.20    0.00   15.15    1.01    0.00    7.07    0.00    0.00    0.00   56.57
01:07:45 PM    5   25.00    0.00   13.54    1.04    0.00    4.17    0.00    0.00    0.00   56.25
01:07:45 PM    6   22.55    0.00   16.67    0.98    0.00    4.90    0.00    0.00    0.00   54.90
01:07:45 PM    7   25.00    0.00   13.00    0.00    0.00    6.00    0.00    0.00    0.00   56.00

01:07:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:46 PM  all   22.70    0.00   12.55    0.00    0.00    7.08    0.00    0.00    0.00   57.68
01:07:46 PM    0   16.84    0.00   20.00    0.00    0.00    6.32    0.00    0.00    0.00   56.84
01:07:46 PM    1   23.91    0.00    9.78    0.00    0.00    8.70    0.00    0.00    0.00   57.61
01:07:46 PM    2   24.47    0.00   10.64    0.00    0.00    7.45    0.00    0.00    0.00   57.45
01:07:46 PM    3   22.58    0.00   12.90    0.00    0.00    6.45    0.00    0.00    0.00   58.06
01:07:46 PM    4   23.91    0.00   10.87    0.00    0.00    6.52    0.00    0.00    0.00   58.70
01:07:46 PM    5   21.05    0.00   12.63    0.00    0.00    8.42    0.00    0.00    0.00   57.89
01:07:46 PM    6   23.40    0.00   12.77    0.00    0.00    6.38    0.00    0.00    0.00   57.45
01:07:46 PM    7   25.53    0.00   10.64    0.00    0.00    6.38    0.00    0.00    0.00   57.45

01:07:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:47 PM  all   25.10    0.00   20.89    0.00    0.00    7.10    0.00    0.00    0.00   46.91
01:07:47 PM    0   28.87    0.00   20.62    0.00    0.00    6.19    0.00    0.00    0.00   44.33
01:07:47 PM    1   26.53    0.00   19.39    0.00    0.00   10.20    0.00    0.00    0.00   43.88
01:07:47 PM    2   26.32    0.00   23.16    0.00    0.00    6.32    0.00    0.00    0.00   44.21
01:07:47 PM    3   27.27    0.00   20.20    0.00    0.00    9.09    0.00    0.00    0.00   43.43
01:07:47 PM    4   24.24    0.00   18.18    0.00    0.00   10.10    0.00    0.00    0.00   47.47
01:07:47 PM    5   23.60    0.00   20.22    0.00    0.00    2.25    0.00    0.00    0.00   53.93
01:07:47 PM    6   21.51    0.00   24.73    0.00    0.00    4.30    0.00    0.00    0.00   49.46
01:07:47 PM    7   21.98    0.00   20.88    0.00    0.00    7.69    0.00    0.00    0.00   49.45

01:07:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:48 PM  all   23.61    0.00   16.21    0.00    0.00    7.91    0.00    0.00    0.00   52.27
01:07:48 PM    0   24.74    0.00   16.49    0.00    0.00    8.25    0.00    0.00    0.00   50.52
01:07:48 PM    1   23.91    0.00   16.30    0.00    0.00    6.52    0.00    0.00    0.00   53.26
01:07:48 PM    2   20.65    0.00   17.39    0.00    0.00    7.61    0.00    0.00    0.00   54.35
01:07:48 PM    3   24.49    0.00   18.37    0.00    0.00    6.12    0.00    0.00    0.00   51.02
01:07:48 PM    4   25.25    0.00   15.15    0.00    0.00    7.07    0.00    0.00    0.00   52.53
01:07:48 PM    5   21.43    0.00   15.31    0.00    0.00   11.22    0.00    0.00    0.00   52.04
01:07:48 PM    6   24.74    0.00   15.46    0.00    0.00    8.25    0.00    0.00    0.00   51.55
01:07:48 PM    7   23.47    0.00   15.31    0.00    0.00    8.16    0.00    0.00    0.00   53.06

01:07:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:07:49 PM  all   21.65    0.00   14.96    0.00    0.00    6.43    0.00    0.00    0.00   56.96
01:07:49 PM    0   20.21    0.00   18.09    0.00    0.00    4.26    0.00    0.00    0.00   57.45
01:07:49 PM    1   17.58    0.00   15.38    0.00    0.00    7.69    0.00    0.00    0.00   59.34
01:07:49 PM    2   22.11    0.00   14.74    0.00    0.00    6.32    0.00    0.00    0.00   56.84
01:07:49 PM    3   22.22    0.00   15.15    0.00    0.00    8.08    0.00    0.00    0.00   54.55
01:07:49 PM    4   23.16    0.00   12.63    0.00    0.00    7.37    0.00    0.00    0.00   56.84
01:07:49 PM    5   24.24    0.00   12.12    0.00    0.00    7.07    0.00    0.00    0.00   56.57
01:07:49 PM    6   21.51    0.00   16.13    0.00    0.00    5.38    0.00    0.00    0.00   56.99
01:07:49 PM    7   21.88    0.00   15.62    0.00    0.00    5.21    0.00    0.00    0.00   57.29

01:07:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
