timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,hook_point,containers,iteration,failure_mode,tenant,tenant_cpu_quota_pct,tenant_memory_mb,tenant_cpuset,noisy_cpu_quota_pct,noisy_memory_mb,noisy_cpuset,host_reserved_cpus,host_mem_pressure_mb,io_read_bps,io_write_bps,requests,failures,p50_ms,p95_ms,p99_ms,p999_ms,p9999_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,map_lookup_latency_us,kernel_ksoftirqd_latency_us,kernel_ebpf_prog_id,kernel_ebpf_prog_name,kernel_ebpf_prog_type,kernel_ebpf_prog_time_ns_per_run,cg_cpu_usage_usec,cg_cpu_throttled_usec,cg_memory_current_bytes,cg_memory_events_oom,cg_io_read_bytes,cg_io_write_bytes,control_plane_convergence_ms,isolation_score
2026-04-09T21:01:00+05:30,ohs_ebpf_dropper_high_bursty_spike_20260409_205826,high,bursty,ebpf,ip,true,dropper,tc,3,1,spike,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.799,16.834,81.560,87.391,87.391,14.948,223.449,16.573,0,,,,,,,,,,,,,,,,,9.2430
0,102.0776,10,3,na,na,na,na,na,na,360941,0,9596928,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:01:23+05:30,ohs_ebpf_rate_medium_intermittent_none_20260409_205826,medium,intermittent,ebpf,ip,true,rate_limit,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.746,1.356,2.627,3.312,3.312,0.368,0.135,28.331,0,,,,,,,,,,,,,,,,,0.2376
0,3.5214,200,0,na,na,na,na,na,na,301513,0,9609216,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:01:23+05:30,ohs_ebpf_rate_medium_intermittent_none_20260409_205826,medium,intermittent,ebpf,ip,true,rate_limit,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.844,1.551,3.383,4.169,4.169,0.479,0.229,22.827,0,,,,,,,,,,,,,,,,,0.3834
0,4.0083,200,0,na,na,na,na,na,na,329206,0,9596928,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:01:44+05:30,ohs_ebpf_priority_low_delayed_churn_20260409_205826,low,delayed_start,ebpf,ip,true,priority,tc,3,1,churn,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.790,1.418,1.877,1.953,1.953,0.281,0.079,28.526,0,2.3759,200,0,na,na,na,na,na,na,284954,0,9609216,0,0,4096,na,0.1697
2026-04-09T21:01:45+05:30,ohs_ebpf_priority_low_delayed_churn_20260409_205826,low,delayed_start,ebpf,ip,true,priority,tc,3,1,churn,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.787,1.299,1.543,2.670,2.670,0.250,0.063,28.362,0,1.9606,200,0,na,na,na,na,na,na,321096,0,9605120,0,0,4096,na,0.1749
2026-04-09T21:02:10+05:30,ohs_adaptive_ip_low_constant_none_20260409_205826,low,constant,adaptive,ip,true,adaptive,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.837,1.698,3.477,4.102,4.102,0.494,0.244,23.677,0,4.1541,200,0,na,na,na,na,na,na,384260,0,9609216,0,0,4096,na,0.3144
2026-04-09T21:02:10+05:30,ohs_adaptive_ip_low_constant_none_20260409_205826,low,constant,adaptive,ip,true,adaptive,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.851,2.481,5.843,20.106,20.106,1.587,2.518,22.982,0,6.8660,165,1,na,na,na,na,na,na,464497,0,9617408,0,0,4096,na,0.6622
2026-04-09T21:02:34+05:30,ohs_adaptive_cgroup_high_bursty_spike_20260409_205826,high,bursty,adaptive,cgroup,true,adaptive,tc,3,1,spike,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.816,4.503,76.278,85.768,85.768,11.971,143.296,23.388,0,93.4779,15,1,na,na,na,na,na,na,297539,0,9605120,0,0,4096,na,6.8980
2026-04-09T21:02:35+05:30,ohs_adaptive_cgroup_high_bursty_spike_20260409_205826,high,bursty,adaptive,cgroup,true,adaptive,tc,3,1,spike,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.815,49.984,83.606,92.860,92.860,17.028,289.945,23.588,0,102.5840,54,3,na,na,na,na,na,na,308391,0,9609216,0,0,4096,na,9.4748
2026-04-09T21:03:16+05:30,ohs_resource_constrained_ebpf_20260409_205826,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant1,60,384,auto,40,256,auto,none,256,0,0,200,0,0.829,1.502,2.863,4.730,4.730,0.494,0.244,26.822,0,,,,,,,,,,,,,,,,,0.2589
0,3.4536,200,0,na,na,na,na,na,na,380225,0,9613312,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:03:17+05:30,ohs_resource_constrained_ebpf_20260409_205826,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant2,60,384,auto,40,256,auto,none,256,0,0,200,0,0.805,1.528,8.075,70.153,70.153,4.984,24.839,24.828,0,,,,,,,,,,,,,,,,,0.9151
0,10.0311,110,1,na,na,na,na,na,na,377369,0,9617408,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:03:17+05:30,ohs_resource_constrained_ebpf_20260409_205826,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant3,60,384,auto,40,256,auto,none,256,0,0,200,0,0.792,2.162,52.273,85.653,85.653,8.832,77.997,25.426,0,,,,,,,,,,,,,,,,,na
0,66.0013,44,1,na,na,na,na,na,na,398872,0,9617408,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:03:17+05:30,ohs_resource_constrained_ebpf_20260409_205826,medium,constant,ebpf,ip,true,rate_limit,tc,5,1,none,tenant4,60,384,auto,40,256,auto,none,256,0,0,200,0,0.849,3.637,80.752,91.850,91.850,13.388,179.231,20.741,0,,,,,,,,,,,,,,,,,na
0,95.1143,15,1,na,na,na,na,na,na,395119,0,9617408,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:04:05+05:30,ohs_resource_reserved_cpu_adaptive_20260409_205826,medium,delayed_start,adaptive,cgroup,true,adaptive,tc,5,1,churn,tenant1,70,448,auto,50,320,auto,0,0,0,0,200,0,0.837,1.437,3.312,4.013,4.013,0.405,0.164,24.282,0,3.9570,200,0,na,na,na,na,na,na,291825,0,9601024,0,0,4096,na,0.2995
2026-04-09T21:04:05+05:30,ohs_resource_reserved_cpu_adaptive_20260409_205826,medium,delayed_start,adaptive,cgroup,true,adaptive,tc,5,1,churn,tenant2,70,448,auto,50,320,auto,0,0,0,0,200,0,0.827,1.392,1.623,4.537,4.537,0.349,0.122,26.066,0,1.9625,200,0,na,na,na,na,na,na,297838,0,9605120,0,0,4096,na,0.1839
